i,x,y,z,dx,dy,dz,radius,rmse,bend
0,-162.68548757609287,-3.3547214204795816e-16,-500.0,-1.0,2.6768244906084756e-18,2.2028433436365762e-16,2.000000000000003,8.419977993222965e-15,1
1,-420.7311585268366,3.552708296484889e-16,-499.99999999999994,-1.0,8.989045063499872e-18,1.9815670167818497e-16,2.000000000000002,8.308833071397942e-15,1
2,-449.546433380107,2.2431338267425195e-15,-499.99999999999994,0.6449984068737858,-6.877682648881487e-19,0.7641839144671119,2.5697939010408963,0.3923030709681155,1
3,0.48187579467948727,-9.387284989593146e-17,-0.9534566875715506,0.6704500753980709,-2.8194013788358178e-18,0.7419546457828274,1.9674746113680062,0.23443121662782831,1
12,-1.5821316457471097e-16,-7.834133626789732e-16,-18.52366306835815,2.761473668682891e-16,-5.545936288316857e-18,-1.0,1.9999999999999996,6.480976053227864e-16,1
17,1.9607626921466738e-16,9.547918011776356e-16,-28.533001139586773,2.8187512167549886e-17,2.6680999477635576e-16,-1.0,1.9999999999999991,7.396503383165477e-16,0
27,-1.7365564206360903e-15,-2.0105887342307599e-16,-48.551677282044,1.694801735998135e-16,1.696404934528234e-17,-1.0,1.9999999999999996,1.1259115058862889e-15,0
43,-1.3465256289033364e-15,-2.9117590403232856e-16,-80.58155910997556,-2.990060341553312e-16,-2.1506588824821777e-16,-1.0,1.9999999999999998,1.0254260042794538e-15,0
58,-4.2272295777913395e-16,1.1102230246251556e-16,-110.60957332366141,-6.353740595559274e-17,-5.837393164210829e-17,-1.0,1.9999999999999996,3.4563986450482363e-16,0
67,-7.643422789493214e-17,-8.157399570135437e-17,-128.62638185187294,-2.82903454446551e-17,-2.654950669930747e-16,-1.0,1.9999999999999991,4.332825002704094e-16,0
73,-1.5638383004228591e-15,-2.2204460492502973e-16,-140.63758753734726,-2.807598485588964e-16,-1.2530792554921774e-16,-1.0,2.0,1.205224457828626e-15,0
88,-3.225242480689793e-17,-1.3613480007800545e-16,-170.6656017510331,-3.0418802045866745e-17,-2.329035788940564e-16,-1.0,1.9999999999999993,1.9229626863835638e-16,0
103,-1.6338112682097703e-16,4.079670412359597e-16,-200.69361596471896,-1.7252438517579185e-16,7.100206346174965e-17,-1.0,1.9999999999999993,4.1426461699091414e-16,0
114,4.1023897431911554e-16,-3.108624468950437e-16,-222.7141597214219,-4.52898535092955e-16,1.5956447746610112e-16,-1.0,1.9999999999999993,4.3979839222009747e-16,0
