i,x,y,z,qx,qy,qz,qw,o,a,t,radius,rmse,bend
0,-0.6275813762011127,-1.0575643139712316,0.11563254583159027,-1.9401869512434741e-16,5.551115123125783e-17,1.0,3.5630292490763026e-17,0.0,2.842170943040401e-14,180.0,2.085664355053411,0.0638523619670686,0
10,-17.533549599064635,-1.0575643139712319,0.11563254583158959,7.311032119646229e-18,5.551115123125783e-17,1.0,-2.1548305194746804e-17,0.0,0.0,180.0,1.9999999999999962,4.1540741810552243e-16,1
17,-31.55912498396387,-1.0575643139712314,0.1156325458315908,1.1426847051557707e-17,5.5347778901848244e-17,0.9999640506058389,-0.008479239114647126,0.0,0.0,-179.02833912692915,1.9999999999999971,1.1003579924274995e-15,1
21,-41.56754305733628,-1.230276820234593,0.1156325458315902,2.2923709215992224e-11,-4.154595130426638e-12,0.9875775963139005,-0.15713208220748093,0.0,2.6696511667978484e-09,-161.91905795166,2.0008970526903274,0.0006712811285924523,1
28,-49.71552167976135,-10.901697316260302,0.11563254573820464,-2.20016684708981e-11,-1.8511459323276082e-11,0.7811448628211382,-0.6243498244479175,0.0,3.2948719308478758e-09,-102.7310356135583,2.00002982476441,2.0985005856407173e-05,1
32,-49.717024120752306,-20.920047637466553,0.11563254583158955,-9.715508118950041e-13,7.069804317704118e-12,0.7086340966652112,-0.7055761596337281,0.0,8.177494237315841e-10,-90.24778014737278,1.999999999999996,1.7385921324964601e-15,1
39,-49.717024120752306,-34.94562302236578,0.11563254583158943,-4.0194125430184934e-12,4.01940655707278e-12,0.7071067811865475,-0.7071067811865476,0.0,6.51368736725999e-10,-90.0,1.999999999999996,1.7385921324964601e-15,0
47,-49.717024120752306,-50.9748520336792,0.11563254583158943,-4.0194096860898565e-12,4.019409414001416e-12,0.7071067811865475,-0.7071067811865476,0.0,6.51368736725999e-10,-90.0,1.9999999999999962,1.8120275626924576e-15,0
55,-49.717024120752306,-67.0040810449926,0.11563254583158943,-4.0194090058687535e-12,4.01941009422252e-12,0.7071067811865475,-0.7071067811865476,0.0,6.51368736725999e-10,-90.0,1.9999999999999962,1.8120275626924576e-15,0
63,-49.717024120752306,-83.03331005630602,0.11563254583158977,-4.019410910487844e-12,4.019408189603428e-12,0.7071067811865475,-0.7071067811865476,0.0,6.51368736725999e-10,-90.0,1.9999999999999962,1.8120275626924576e-15,1
