i,x,y,z,dx,dy,dz,radius,rmse,bend
0,-121.04981279939238,-200.0860215418877,0.00010882093654115236,0.5660431994162548,0.8243755776051962,-5.8674604767036445e-05,1.0661555585603932,0.2839753010108774,1
1,-119.99999999999993,-198.55709224149334,-8.856847547034086e-16,0.6369838010604865,0.7708771868373112,-5.726334649066327e-07,2.1927156778974424,0.14294392394962968,1
2,-3.765584540822626e-13,-53.59165386311286,9.942184292665489e-14,-0.3725943395351315,-0.9279943201045895,-5.3028629987494525e-15,2.296426378360939,0.21839630313474767,1
3,-120.18269382053381,-199.01211479493625,-3.485832417220337e-15,-0.6410093840128,-0.7675330413783699,-5.342715589737992e-16,2.076537151947501,0.13387501346341835,1
4,-119.99999999999994,-197.27748321684487,-5.963294681121573e-16,0.04875960958819923,0.9988105428322263,9.41801245127944e-16,2.0,2.546448254905577e-15,1
5,-119.99999999999994,-195.26974450935276,4.2933893854119363e-17,0.0,1.0,-1.522999070187919e-16,1.9999999999999991,2.440937400820054e-15,1
6,-119.99999999999994,-193.2620058018607,-1.207886305050304e-15,0.0,1.0,7.315791433523926e-17,1.9999999999999998,2.6643573328032857e-15,1
7,-119.99999999999994,-191.25426709436863,3.3669784659461657e-16,0.0,1.0,3.8362774771829965e-16,1.9999999999999998,2.9402776829971742e-15,1
8,-119.99999999999994,-189.24652838687655,3.3256225167377e-16,0.0,1.0,4.41741657120543e-18,1.9999999999999998,2.9402776829971742e-15,1
9,-119.99999999999994,-187.23878967938447,3.5443588306886875e-16,0.0,1.0,-2.5130158804538852e-15,1.9999999999999998,2.9402776829971742e-15,1
10,-119.99999999999994,-185.2310509718924,-9.758396259785344e-15,0.0,1.0,-1.2551221899269586e-16,1.9999999999999998,7.627420508266419e-15,1
11,-119.99999999999994,-183.2233122644003,-1.495555976008476e-16,0.0,1.0,2.4994778765533887e-15,1.9999999999999993,2.4298417309597575e-15,1
12,-119.99999999999994,-181.21557355690825,2.782007027672889e-16,0.0,1.0,1.7220414218026256e-16,2.0,2.3932770240802764e-15,1
13,-119.99999999999994,-179.20783484941614,5.419262460907181e-16,0.0,1.0,6.906329727252772e-17,1.9999999999999996,2.4027663473715013e-15,1
14,-119.99999999999994,-177.2000961419241,5.555228131694612e-16,0.0,1.0,-1.6691277284505863e-16,1.9999999999999996,2.409465339937656e-15,1
15,-119.99999999999994,-175.19235743443198,-1.2830822354099646e-16,0.0,1.0,-8.857952695883861e-19,1.9999999999999993,2.4300368284534245e-15,0
16,-119.99999999999994,-173.18461872693993,5.519659222701292e-16,0.0,1.0,1.7029881282825118e-16,1.9999999999999991,2.4333510925860917e-15,0
17,-119.99999999999994,-171.17688001944782,5.555228131694612e-16,0.0,1.0,3.4667767828919517e-17,1.9999999999999996,2.409465339937656e-15,0
18,-119.99999999999994,-169.16914131195574,6.91173561015071e-16,0.0,1.0,-2.393229942789435e-16,1.9999999999999998,2.4257410589050288e-15,0
19,-119.99999999999994,-167.16140260446366,-4.0547326524402e-16,0.0,1.0,-8.581823656296118e-17,1.9999999999999996,2.40730005877326e-15,0
20,-119.99999999999994,-165.1536638969716,3.4657237030273484e-16,0.0,1.0,6.150847872055697e-16,1.9999999999999998,2.9402776829971742e-15,0
21,-119.99999999999994,-163.14592518947953,2.0643858060802665e-15,0.0,1.0,-6.512610605647022e-17,1.9999999999999993,2.7254005376727443e-15,0
22,-119.99999999999994,-161.13818648198745,8.505996230711547e-17,0.0,1.0,-5.513519750900809e-16,1.9999999999999998,2.40730005877326e-15,0
23,-119.99999999999994,-159.1304477744954,-1.495555976008476e-16,0.0,1.0,1.5405349685230208e-15,1.9999999999999993,2.4298417309597575e-15,0
24,-119.99999999999994,-157.12270906700329,6.271043335404642e-15,0.0,1.0,1.2043660620009531e-16,1.9999999999999996,4.85919567412362e-15,0
25,-119.99999999999994,-155.1149703595112,3.3405487453298003e-16,0.0,1.0,-1.5989627806263766e-15,1.9999999999999993,2.3918900190237155e-15,0
26,-119.99999999999994,-153.10723165201912,-1.495555976008476e-16,0.0,1.0,-1.9645520678190748e-17,1.9999999999999993,2.4298417309597575e-15,0
27,-119.99999999999994,-151.09949294452707,2.551687299441013e-16,0.0,1.0,2.1687999396929149e-16,2.0,2.3932770240802764e-15,0
28,-119.99999999999994,-149.091754237035,7.213211199447374e-16,0.0,1.0,-1.0079108552190556e-16,1.9999999999999996,2.404738576503829e-15,0
29,-119.99999999999994,-147.0840155295429,-1.495555976008476e-16,0.0,1.0,-1.0573416735192635e-16,1.9999999999999993,2.4298417309597575e-15,0
30,-119.99999999999994,-145.07627682205083,2.967479589509214e-16,0.0,1.0,2.1544815389618364e-18,1.9999999999999993,2.3685869834795103e-15,0
31,-119.99999999999994,-143.06853811455875,-1.4090432564014602e-16,0.0,1.0,-1.111458266173636e-16,1.9999999999999993,2.4298417309597575e-15,0
32,-119.99999999999994,-141.06079940706667,-1.495555976008476e-16,0.0,1.0,1.3873922559383515e-18,1.9999999999999993,2.4298417309597575e-15,0
33,-119.99999999999994,-139.0530606995746,-1.3533328337070165e-16,0.0,1.0,5.0457900530096607e-17,1.9999999999999993,2.4116286770048217e-15,1
34,-119.99999999999994,-137.0453219920825,5.305696238527268e-17,0.0,1.0,-3.541873794900213e-18,1.9999999999999998,2.40730005877326e-15,1
35,-119.99999999999994,-135.03758328459045,-1.495555976008476e-16,0.0,1.0,1.251322816333594e-16,1.9999999999999993,2.4298417309597575e-15,1
36,-119.99999999999994,-133.02984457709837,5.555228131694612e-16,0.0,1.0,1.738102756031275e-16,1.9999999999999996,2.409465339937656e-15,1
37,-119.99999999999994,-131.02210586960626,5.483756385756884e-16,0.0,1.0,0.0,1.9999999999999996,2.409465339937656e-15,1
38,-119.99999999999994,-129.0143671621142,5.555228131694612e-16,0.0,1.0,1.7799065603263974e-18,1.9999999999999996,2.409465339937656e-15,1
39,-119.99999999999994,-127.00662845462212,5.555228131694612e-16,0.0,1.0,-8.43261144626488e-19,1.9999999999999996,2.409465339937656e-15,1
40,-119.99999999999994,-124.99888974713005,5.521367170882798e-16,0.0,1.0,-6.606212511905e-17,1.9999999999999996,2.409465339937656e-15,1
41,-119.99999999999994,-122.99115103963797,2.9025184176805896e-16,0.0,1.0,-2.928067182437079e-16,1.9999999999999998,2.358558201949909e-15,1
42,-119.99999999999994,-120.98358509364292,-6.235714612479769e-16,0.006491475353036066,0.9999789301519012,-6.27352729610256e-11,2.000020259900433,1.5161115298175319e-05,1
43,-119.97395981715172,-118.97979263967973,-2.5165867633023994e-10,0.056852973743414796,0.9983825616348327,6.487952284731309e-10,2.0000179109808074,1.2459721476501601e-05,1
44,-119.77281519580775,-116.99404273834651,2.5925887738928887e-09,0.150530729871904,0.9886053304348666,2.423480111913788e-10,2.0000000261503303,2.8931732318229515e-08,1
45,-119.37240120863244,-115.02907741058853,7.168248520081963e-10,0.2486189303861741,0.9686013769624916,-7.845665427956401e-10,2.000000002247902,5.408154365311122e-09,1
46,-118.7762117296241,-113.11134769122485,-5.523919191997634e-10,0.33454814221467855,0.942378660911158,-3.525399948133381e-10,2.000057785337956,4.019274500374195e-05,1
47,-118.17038067507178,-111.64314170248431,-5.498398195148452e-10,0.4248574850738973,0.9052602484240005,-5.0937065178012246e-11,2.0000313012208952,2.1772825008837773e-05,1
48,-117.29666343707703,-109.95881701465339,-7.297781027064003e-10,0.49770968071576227,0.8673436883507103,-6.440875275966984e-11,2.0000131944721633,9.179151616381093e-06,1
49,-116.38328427212429,-108.5288225609686,-7.811084784037125e-10,0.5778311565474419,0.8161563297083749,2.919048289667073e-10,2.000014281735936,9.935294681515614e-06,1
