i,x,y,z,dx,dy,dz,nx,ny,nz,bx,by,bz,qx,qy,qz,qw,o,a,t,radius,rmse,bend
0,-8.168209433433999e-16,1.088527975421993,-1.1102230246251565e-16,8.58720603894512e-16,1.0,2.0751021223451133e-16,-1.7819329476429793e-31,-2.0751021223451133e-16,1.0,1.0,-8.58720603894512e-16,0.0,1.126182505853357e-16,-3.411362765114699e-17,0.7071067811865472,0.7071067811865478,0.0,0.0,89.99999999999994,2.0294162848491877,0.021999852155076383,0
9,1.488784355008226e-17,11.629648250742942,1.1310312022241016e-15,-1.9179698233894708e-17,1.0,8.054863368480027e-17,-1.0597814600091406e-31,-8.054863368480027e-17,1.0,1.0,1.9179698233894708e-17,1.0752304448814105e-31,6.773055401401104e-17,1.0774068920177618e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,2.0,9.46072787572594e-16,0
14,-8.490628626898034e-16,21.63596347285906,1.3362027164143805e-16,-2.9453926545053335e-17,1.0,-2.09510571049171e-17,-1.0605334451518297e-31,2.09510571049171e-17,1.0,1.0,2.9453926545053335e-17,1.0543625361817351e-31,3.184499419113759e-17,4.6659628743051074e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,1.9999999999999991,7.54876298480092e-16,0
19,-2.6168488551686655e-16,31.64227869497516,1.0690811417583195e-15,1.1955067620924476e-17,1.0,4.662683139923736e-17,-1.0836185194208445e-31,-4.662683139923736e-17,1.0,1.0,-1.1955067620924476e-17,1.0780442501975712e-31,5.573738580091562e-17,2.2767237133273045e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,1.9999999999999998,8.477604590109237e-16,0
24,-1.332267629550189e-16,41.648593917091276,1.9966701093980164e-16,8.644748509917732e-18,1.0,-2.2501730639087252e-17,-1.1040371760267186e-31,2.2501730639087252e-17,1.0,1.0,-8.644748509917732e-18,1.1059823940508467e-31,3.1296748305428486e-17,4.7207874628760186e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,1.9999999999999991,4.038339036688484e-16,0
29,-1.1182331109166537e-16,51.65490913920739,1.019135023284463e-16,2.8503297231773726e-17,1.0,-3.662699464701915e-18,-1.1285678958202125e-31,3.662699464701915e-18,1.0,1.0,-2.8503297231773726e-17,1.129611885935343e-31,3.79573516526248e-17,4.0547271281563865e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,1.9999999999999991,4.073404867329338e-16,1
34,8.663844558129812e-16,61.66122436132352,1.9102663972234846e-16,0.00043622463381211545,0.9999999048540299,4.152270190155284e-12,-9.056635953562375e-16,-4.152270190154289e-12,1.0,0.9999999048540299,-0.00043622463381211545,-9.056590340030216e-16,1.4680884993739503e-12,-1.4680099963655654e-12,0.7069525356649441,0.7072609930689703,0.0,2.3791812964191195e-10,89.97500616877028,1.9999999999999996,6.451650219279249e-16,1
40,0.24927693118760674,72.21886193469335,1.3813292603051162e-09,0.2580706222409195,0.9661260548891993,6.453443481789004e-07,-1.0747880677575613e-07,-6.392615358119748e-07,0.99999999999979,0.9661260548894088,-0.2580706222409346,-6.113654674722234e-08,2.2077375509113092e-07,-2.372987575505241e-07,0.6090687062060273,0.7931174636334841,-99.54385908703905,3.714105847052451e-05,174.58824864979533,2.0000086446402974,6.08293661471309e-06,1
47,7.468747169554417,79.67402655819414,-3.5166395663533725e-10,0.9277224694140652,0.3732707057140553,-1.663243460104666e-11,3.116321631098436e-07,-7.744822271050891e-07,0.9999999999996516,0.37327070571392523,-0.9277224694137419,-8.34827721694447e-07,4.0980046600284055e-07,7.93593687397531e-08,0.1901019865571139,0.9817643478487414,-68.08138633351196,4.783210508207958e-05,89.99885848507347,2.001004188478764,0.0007065172537577518,1
55,19.171248562173304,80.0,-2.8725827632669003e-15,1.0,0.0,-1.6127895827198561e-16,1.6127895827192943e-16,-8.34811033755191e-07,0.9999999999996516,-1.3463745387799662e-22,-0.9999999999996516,-8.34811033755191e-07,4.174055169331431e-07,8.063947913598579e-17,-3.365936347397848e-23,0.999999999999913,-89.99999998893091,4.783114891893092e-05,89.99999998893088,2.0,2.0088123203141563e-15,1
61,29.17756378428941,80.0,-3.957611630960111e-15,1.0,-1.1344828604474452e-15,-4.580885955186721e-15,4.580885008106316e-15,-8.34811033755191e-07,0.9999999999996516,-1.1344866846211898e-15,-0.9999999999996516,-8.34811033755191e-07,4.174055169331431e-07,2.2904427408234593e-15,-5.672423862672084e-16,0.999999999999913,-89.99999968559906,4.783114891893092e-05,89.999999685599,1.9999999999999996,1.933779744124978e-15,0
67,39.183879006405505,80.0,-5.718310770795759e-15,0.9999999998670565,-1.3836139003653895e-05,8.628348609007053e-06,-8.628360159565551e-06,-8.347513421715697e-07,0.9999999999624274,-1.3836131800608453e-05,-0.9999999999039323,-8.348707252511362e-07,4.174055169250969e-07,-4.3141771922869125e-06,-6.918067701296117e-06,0.999999999966677,-174.47411279896394,0.0004966767815517414,174.4733200468006,2.0,2.0262008902388098e-15,1
72,49.189527693316315,79.99950156061635,0.0003108315670055191,0.9762879089713631,-0.1831601227424977,0.11538755666568475,-0.11535871787143064,0.010848758645361516,0.9932646528729966,-0.1831782874889464,-0.9830232316038151,-0.010537605031933406,-7.825367635804361e-05,-0.05803160724866971,-0.09213239427288643,0.9940542984978455,174.62749524403324,6.653676531443978,174.78201802503713,2.0011015374626813,0.0007671823940679869,1
77,57.82194897139676,76.12180777550326,2.4184777640195945,0.7950394131843855,-0.5141611078419457,0.3217929251338056,-0.32182096679597133,0.09212606858086438,0.9423078333635673,-0.5141435566200693,-0.8527315771510852,-0.09222396931106777,2.583473096906712e-05,-0.16984134552806365,-0.2713562432615549,0.9473751664070362,164.02543786885087,19.557189592154202,164.00800723635837,2.017004017331125,0.011507121234029267,1
83,66.23681589528667,68.98155641790532,6.871206803282784,0.7071067811865465,-0.6000000000000001,0.37416573867739633,-0.3744823590384212,0.1310922247752122,0.9179203622169543,-0.5998024364480531,-0.789186181204084,-0.13199321432366917,0.00024380602343806323,-0.20258272248675574,-0.3246642110805886,0.9238795003418444,160.70676447746166,23.376077960964494,160.5688548941842,1.9999999999999993,2.9826988846756113e-15,1
88,73.31234924353517,62.97776728463564,10.615227129804747,0.7071067811865466,-0.5999999999999998,0.3741657386773963,-0.37448235903842114,0.13109222477521204,0.9179203622169542,-0.5998024364480528,-0.7891861812040842,-0.13199321432366912,0.00024380602343809327,-0.20258272248675566,-0.32466421108058835,0.9238795003418445,160.70676447746172,23.376077960964494,160.56885489418426,1.9999999999999998,3.3373521743463716e-15,1
93,80.3878733711076,56.97398597536901,14.359242577203565,0.7010058986812383,-0.5952919540862237,0.3927062762604062,-0.38850142582615677,0.14300889881364956,0.9102829763272247,-0.5980446238744669,-0.790680684132547,-0.13102169131306024,-0.003249546947912965,-0.2117733512060028,-0.32349512883250625,0.9222214429220633,159.79114086075776,24.455513908391282,161.54934805593655,1.9999999999999993,7.734322182904263e-15,1
100,87.15994648335639,51.22769139092033,19.595969937711587,0.4404903739121376,-0.3722410672881713,0.8169484795964236,-0.7085179471893982,0.41470342654750086,0.5709845764294189,-0.5513352419365793,-0.8303358692926163,-0.08106660943205246,-0.09895697068688815,-0.4524546714730272,-0.27393353811858495,0.842883565451684,149.65908725235164,55.18108816437842,174.333034745575,2.000458321325643,0.00032245576665897554,1
106,88.60679466291312,49.99999999999999,29.355105136255844,0.035699111172537254,-0.03029170034634948,0.9989033919011476,-0.8460422639962342,0.531097863489406,0.04634163278429949,-0.5319192241248829,-0.8467688422982481,-0.00666833706911571,-0.1888045524411353,-0.6642153450390565,-0.20240657061562636,0.6944079467890407,147.8817038339974,87.34386875218712,179.6175186728342,2.0,2.4084813625454e-15,1
114,88.60679466291312,50.0,39.537949199324224,0.0,4.0320725685116047e-16,1.0,-0.8468698953402084,0.5318001319729666,-2.1442567240590497e-16,-0.5318001319729666,-0.8468698953402084,3.414640874099548e-16,-0.19565920925156569,-0.6794979571971149,-0.1956592092515654,0.6794979571971148,147.87283663325888,90.0,180.0,2.0,2.3017955831699603e-15,1
118,88.60679466291312,50.0,43.276318104802485,0.0,0.0,1.0,-0.8468698953402084,0.5318001319729666,0.0,-0.5318001319729666,-0.8468698953402084,0.0,-0.19565920925156555,-0.6794979571971149,-0.19565920925156555,0.6794979571971148,147.87283663325888,90.0,180.0,2.0089393098342727,0.0061931787157868635,0
