i,x,y,z,dx,dy,dz,nx,ny,nz,bx,by,bz,qx,qy,qz,qw,o,a,t,radius,rmse,bend
0,-8.168209433433999e-16,1.088527975421993,-1.1102230246251565e-16,8.58720603894512e-16,1.0,2.0751021223451133e-16,-1.7819329476429793e-31,-2.0751021223451133e-16,1.0,1.0,-8.58720603894512e-16,0.0,1.126182505853357e-16,-3.411362765114699e-17,0.7071067811865472,0.7071067811865478,0.0,0.0,89.99999999999994,2.0294162848491877,0.021999852155076383,0
1,5.356975171615097e-17,1.6612045511203848,2.220446049250313e-16,6.954181721788654e-16,1.0,1.8744673837140163e-16,-1.6424079044285575e-31,-1.8744673837140163e-16,1.0,1.0,-6.954181721788654e-16,3.388692226372565e-32,1.055247413739537e-16,-2.7020118439765026e-17,0.7071067811865472,0.7071067811865478,0.0,0.0,89.99999999999994,2.000171636563933,0.00012824952801186393,0
2,4.488314397515405e-16,2.1303617751527644,2.3734139962753545e-16,5.496419365503265e-16,1.0,1.3640885600717058e-16,-1.3618822994275204e-31,-1.3640885600717058e-16,1.0,1.0,-5.496419365503265e-16,6.121220216435616e-32,8.748012501537917e-17,-8.975502081190489e-18,0.7071067811865474,0.7071067811865477,0.0,0.0,90.0,1.9999999999999993,4.1426461699091414e-16,0
3,2.220446049250313e-16,3.3422046553034965,9.480861338050375e-16,3.953073778879735e-16,1.0,6.566123118689289e-17,-1.0822117188324595e-31,-6.566123118689289e-17,1.0,1.0,-3.953073778879735e-16,8.226480275385929e-32,6.246706238374914e-17,1.603756055043954e-17,0.7071067811865474,0.7071067811865477,0.0,0.0,90.0,2.0,8.336630270683252e-16,0
4,-2.3592239273284576e-16,3.7784080501893977,-6.062261006701814e-16,2.1946143690259076e-16,1.0,2.6044480292167052e-17,-9.952682280647743e-32,-2.6044480292167052e-17,1.0,1.0,-2.1946143690259076e-16,9.381106373817724e-32,4.84604257806297e-17,3.004419715355898e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,1.9999999999999993,5.29766398929187e-16,0
5,-4.512816433845701e-16,4.21620458067342,-1.835858587922676e-16,6.348456038936915e-17,1.0,7.729181110314428e-18,-9.836408408951774e-32,-7.729181110314428e-18,1.0,1.0,-6.348456038936915e-17,9.787340042455962e-32,4.198498965515549e-17,3.651963327903319e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,1.9999999999999998,4.376372076805714e-16,0
6,-1.332267629550189e-16,5.826486249377845,2.1510571102099942e-16,-7.390655806700084e-17,1.0,-5.67015981750625e-17,-1.0312594122007457e-31,5.67015981750625e-17,1.0,1.0,7.390655806700084e-17,9.893532126205757e-32,1.9205269180243604e-17,5.929935375394507e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,1.9999999999999991,4.038339036688484e-16,0
7,2.641256065891259e-16,7.6576777495404205,2.371546603059142e-16,-1.3530564147675853e-16,1.0,-1.6860840147205844e-16,-1.1826756302578805e-31,1.6860840147205844e-16,1.0,1.0,1.3530564147675853e-16,9.545389510624035e-32,-2.035976055586386e-17,9.886438349005254e-17,0.7071067811865476,0.7071067811865475,0.0,0.0,90.0,1.9999999999999996,2.6127917847709276e-16,0
8,3.642642365773209e-16,9.628385206319717,5.500378172907544e-18,-1.0846327889595523e-16,1.0,-8.448699614736057e-17,-1.0914347957893566e-31,8.448699614736057e-17,1.0,1.0,1.0846327889595523e-16,9.9979742952723e-32,9.38164751815415e-18,6.912297541603453e-17,0.7071067811865476,0.7071067811865475,0.0,0.0,90.0,1.9999999999999993,3.6303287396459174e-16,0
9,1.488784355008226e-17,11.629648250742942,1.1310312022241016e-15,-1.9179698233894708e-17,1.0,8.054863368480027e-17,-1.0597814600091406e-31,-8.054863368480027e-17,1.0,1.0,1.9179698233894708e-17,1.0752304448814105e-31,6.773055401401104e-17,1.0774068920177618e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,2.0,9.46072787572594e-16,0
