i,x,y,z,qx,qy,qz,qw,o,a,t,radius,rmse,bend
0,-0.1291949180847134,0.5074805360260474,0.11563254583440893,-5.232323550789526e-13,-1.6115490662511768e-13,0.9556668045044514,-0.294450265356054,0.0,6.272671271290164e-11,-145.75084837599695,1.1460062505422826,0.2838106621712776,1
1,-1.0997204726862408,-0.7046111955711093,0.11563254583198868,-4.319681067050869e-13,-1.628069584106131e-13,0.9696773028587186,-0.24438888747371687,0.0,5.289280124998186e-11,-151.70855647133087,2.1905796339269066,0.2032269953682945,1
2,-2.038986655082061,-1.0414541512613544,0.1156325458315896,-3.3863810098929244e-13,-1.6402752155077657e-13,0.9811640791816516,-0.1931762141766471,0.0,4.311573320592288e-11,-157.72359448862176,2.008820976776417,0.006599869999768945,1
3,-3.209093578449968,-1.0414541512613544,0.11563254583158979,-2.4553956084820365e-13,-1.6479131616915696e-13,0.9898572098852498,-0.14206584402377867,0.0,3.387867764104158e-11,-163.66518916222722,1.9999999999999967,2.155443253646696e-16,1
4,-5.210030468994004,-1.0414541512613542,0.11563254583159134,-1.5484265007185583e-13,-1.6510536639412688e-13,0.9957342020675944,-0.09226808133266368,0.0,2.594902070995886e-11,-169.41179671384572,1.9999999999999971,1.2609709600486848e-15,1
5,-7.21096735953804,-1.041454151261354,0.11563254583158983,-6.842471664297144e-14,-1.6502034717308641e-13,0.9989960700749289,-0.04479790145584864,0.0,2.0463630789890885e-11,-174.8648200624292,1.9999999999999967,3.8949200278671956e-16,1
6,-9.211904250082076,-1.041454151261354,0.11563254583159067,-8.916835780800274e-15,-1.6497887467836717e-13,0.999961527210483,-0.00877177854704961,0.0,1.892885848064907e-11,-178.9948153300755,1.9999999999999967,7.536192180100438e-16,1
7,-11.212841140626114,-1.0414541512613544,0.11563254583158944,2.1914836638419073e-17,-1.649850298806013e-13,1.0,1.0055159927217995e-17,0.0,1.8900436771218665e-11,180.0,1.9999999999999967,2.630873604568111e-16,1
8,-13.21377803117015,-1.0414541512613547,0.11563254583158969,-3.063243179106081e-17,-1.649850298806013e-13,1.0,-1.2021784551971776e-16,0.0,1.8900436771218665e-11,180.0,1.9999999999999967,1.995552688145257e-16,1
9,-15.214714921714187,-1.041454151261355,0.11563254583159005,-2.909117736131784e-17,-1.649850298806013e-13,1.0,-1.3871289867659638e-16,0.0,1.8900436771218665e-11,180.0,1.9999999999999967,5.702766814261073e-16,1
10,-17.215651812258223,-1.0414541512613533,0.11563254583158966,-1.656848511970094e-17,-1.649850298806013e-13,1.0,-1.8495053156881618e-17,0.0,1.8900436771218665e-11,180.0,1.9999999999999964,8.15843973306311e-16,1
11,-19.21658870280226,-1.0414541512613542,0.11563254583159097,-2.2915438560550254e-11,-1.649849544017781e-13,0.9999994358367158,0.0010622270238339895,0.0,2.625995421112748e-09,179.87827772640873,1.999999999999997,9.201619764669334e-16,1
12,-21.217525593346295,-1.041454151261354,0.11563254583158955,-2.2930007808099148e-11,-2.957816209919219e-13,0.999977077485626,0.006770856910790164,0.0,2.6278144105162937e-09,179.22411102219837,1.9999999999999958,9.258119216810054e-16,1
13,-23.21846248389033,-1.0414541512613633,0.11563254583158937,1.6886095715215568e-11,-1.007945263832827e-12,0.9996599804902291,0.026075340961812816,0.0,1.9384458482818445e-09,177.01164731996437,1.9999999999999967,6.110883138379014e-15,1
