i,x,y,z,qx,qy,qz,qw,o,a,t,radius,rmse,bend
0,-1.0993579421558108,-1.0414541512613542,0.11563254583159022,-1.3281724436303974e-16,5.551115123125783e-17,1.0,-2.767826800040107e-17,0.0,2.842170943040401e-14,180.0,2.1900935754681727,0.14795591646601086,0
7,-15.138461061365284,-1.041454151261355,0.11563254583158934,2.6909427222616807e-18,5.551115123125782e-17,1.0,-6.150726222312386e-18,0.0,0.0,180.0,1.999999999999997,5.29766398929187e-16,1
14,-31.178765127025386,-1.1503502342124734,0.11563254195821387,-1.5422785582008992e-11,-7.275786369998584e-12,0.9860695791116929,-0.1663333554957904,0.0,1.954106210177997e-09,-160.8505988822094,2.000340849600145,0.0002694616962627351,1
19,-39.39892906098352,-8.578357446907505,0.11563254496731204,1.617041395842797e-11,2.656737033989471e-11,0.8318199831961036,-0.5550455076438633,0.0,3.563968675734941e-09,-112.57230141646347,2.0000358619254994,2.4675513549522247e-05,1
24,-39.707024120752294,-20.586247701646847,0.11563254583158976,2.2870780755115286e-11,5.129532573864954e-11,0.7102056374623471,-0.7039942844346829,110.71794046713865,6.4358118834206834e-09,158.7787614918517,1.9999999999999967,1.2910646468438266e-15,1
30,-39.707024120752294,-30.61417850108198,0.11563254583159009,-1.4091287074554737e-11,1.409110463067899e-11,0.7071067811865475,-0.7071067811865476,0.0,2.2835706658952404e-09,-90.0,2.829313737584839,0.6111509428623925,1
36,-39.707024120752294,-42.64769546040414,0.11563254583158977,-1.4091194493485544e-11,1.4091197211748182e-11,0.7071067811865475,-0.7071067811865476,0.0,2.2835706658952404e-09,-90.0,1.9999999999999964,1.2309118173513342e-15,0
41,-39.707024120752294,-52.67562625983926,0.11563254583159005,-1.409119136748351e-11,1.4091200337750216e-11,0.7071067811865475,-0.7071067811865476,0.0,2.2835706658952404e-09,-90.0,1.9999999999999964,1.2431752515804545e-15,0
48,-39.707024120752294,-66.71472937904844,0.11563254583158974,-1.4091192047049169e-11,1.4091199658184557e-11,0.7071067811865475,-0.7071067811865476,0.0,2.2835706658952404e-09,-90.0,1.999999999999997,1.2954635169882576e-15,1
53,-39.707024120752294,-76.74266017848358,0.11563254583158977,-1.409119422165928e-11,1.4091197483574447e-11,0.7071067811865475,-0.7071067811865476,0.0,2.2835706658952404e-09,-90.0,1.9999999999999964,1.2431752515804545e-15,1
58,-39.707024120752294,-86.7705909779187,0.11563254583158959,-1.2202343365194283e-10,-1.1359804022619598e-10,0.5649304650282304,-0.825138515452398,-81.44538265472058,1.9104248849544092e-08,12.650457021311269,1.9999999999999964,1.2431752515804545e-15,1
61,-34.47870825386683,-96.7194101575404,0.11563254516881122,-1.0441268933456704e-10,-2.057791202932495e-11,0.3257419373257683,-0.9454587194940112,-97.86142057118322,1.2194959708722308e-08,59.8403583936078,2.0000367967959303,2.9090379808126316e-05,1
69,-16.85099346874756,-97.93129144138415,0.1156325458315895,-1.1169264229686657e-10,-4.1004791016532234e-18,4.579933455467303e-28,-1.0,-89.9999978965477,1.2799034720956115e-08,89.99999789654771,2.0000026746834325,1.8488067769004922e-06,1
74,-6.823062669312436,-97.93129144138415,0.11563254583158943,-1.1169264229686657e-10,-4.228624277839786e-18,4.723062188726049e-28,-1.0,-89.99999783081213,1.2799034720956115e-08,89.99999783081216,1.9999999999999964,5.855996394643596e-15,1
79,3.2048681301226916,-97.93129144138415,0.11563254583158923,-1.1169264229686657e-10,-2.8831529167089607e-18,3.2202696741314147e-28,-1.0,-89.99999852100828,1.2799034720956115e-08,89.99999852100825,1.9999999999999958,2.544026879431029e-15,0
86,17.243971249331878,-97.93129144138415,0.11563254583158948,-1.1169264229686657e-10,1.92210194447222e-19,-2.1468464494204736e-29,-1.0,-90.00000009859944,1.2799034720956115e-08,90.00000009859946,1.999999999999996,2.5106377756969153e-15,0
93,31.283074368541065,-97.93129144138415,0.1156325458315895,-1.1169264229686657e-10,1.9221019444719905e-19,-2.1468464494202175e-29,-1.0,-90.00000009859944,1.2799034720956115e-08,90.00000009859946,1.9999999999999958,2.544772163431031e-15,0
98,41.31100516797619,-97.93129144138415,0.11563254583158931,-1.1169264229686657e-10,-1.1532611666835816e-17,1.2867054502655034e-27,-1.0,-89.99999408403309,1.2799034720956115e-08,89.99999408403312,1.9999999999999958,2.544772163431031e-15,0
104,53.34452212729835,-97.93129144138415,0.11563254583158923,-1.1169264229686657e-10,-3.267573305603467e-18,3.635614770144983e-28,-1.0,-89.99999832380938,1.2799034720956115e-08,89.9999983238094,1.999999999999996,2.578822403160691e-15,0
109,63.37245292673348,-97.93129144138415,0.1156325458315892,-1.1169264229686657e-10,8.457248555679596e-18,-9.446124377452126e-28,-1.0,-90.00000433837573,1.2799034720956115e-08,90.00000433837573,1.9999999999999967,2.602975375169193e-15,0
114,73.4003837261686,-97.93129144138415,0.11563254583158943,-1.1169264229686657e-10,1.7683337889148198e-17,-1.975098733467257e-27,-1.0,-90.00000907114926,1.2799034720956115e-08,90.0000090711493,1.9999999999999958,2.544026879431029e-15,0
120,85.43390068549074,-97.93129144138415,0.11563254583158918,-1.1169264229686657e-10,-6.150726222312388e-18,6.86990863814695e-28,-1.0,-89.99999684481766,1.2799034720956115e-08,89.99999684481764,1.9999999999999958,2.544026879431029e-15,0
125,95.4618314849259,-97.93129144138415,0.1156325458315895,-1.1169264229686657e-10,2.9408159750431217e-17,-3.284675067614022e-27,-1.0,-90.00001508571562,1.2799034720956115e-08,90.00001508571563,1.9999999999999958,2.544772163431031e-15,0
131,107.49534844424804,-97.93129144138415,0.1156325458315894,-1.1169264229686657e-10,-1.057156069459957e-17,1.180765547181524e-27,-1.0,-89.99999457703034,1.2799034720956115e-08,89.99999457703035,1.999999999999996,2.5106377756969153e-15,0
136,117.52327924368316,-97.93129144138415,0.11563254583158944,-1.1169264229686657e-10,-1.0955981083494142e-17,1.2237024761699479e-27,-1.0,-89.99999437983145,1.2799034720956115e-08,89.99999437983143,1.9999999999999962,2.621124914303772e-15,0
142,129.55679620300535,-97.93129144138415,0.1156325458315892,-1.1169264229686657e-10,1.1917032055730242e-17,-1.3310447986409705e-27,-1.0,-90.0000061131658,1.2799034720956115e-08,90.0000061131658,1.9999999999999958,2.544026879431029e-15,0
147,139.58472700244047,-97.93129144138415,0.11563254583159024,-1.1169264229686657e-10,2.8831529167087384e-18,-3.2202696741311667e-28,-1.0,-90.00000147899173,1.2799034720956115e-08,90.00000147899175,1.9999999999999958,2.544772163431031e-15,0
153,151.61824396176263,-97.93129144138415,0.11563254583158945,-1.1169264229686657e-10,-1.1917032055730473e-17,1.3310447986409962e-27,-1.0,-89.9999938868342,1.2799034720956115e-08,89.9999938868342,1.9999999999999958,2.544026879431029e-15,0
158,161.6461747611977,-97.93129144138415,0.11563254583158941,-1.1169264229686657e-10,2.535252464759386e-16,-2.8316904667861943e-26,-1.0,-90.00013005267245,1.2799034720956115e-08,90.00013005267243,1.9999999999999958,2.544026879431029e-15,0
164,173.67969172051994,-97.93129144138415,0.11563254583158944,-1.1169264229686657e-10,-6.1507262223107355e-18,6.869908638145104e-28,-1.0,-89.99999684481766,1.2799034720956115e-08,89.99999684481764,1.9999999999999958,2.544772163431031e-15,0
169,183.707622519955,-97.93129144138415,0.11563254583158923,-1.1169264229686657e-10,6.1507262223122786e-18,-6.869908638146828e-28,-1.0,-90.00000315518236,1.2799034720956115e-08,90.00000315518236,1.999999999999996,1.3741121089098088e-14,0
