i,x,y,z,qx,qy,qz,qw,o,a,t,radius,rmse,bend
0,-1.0993579421558108,-1.0414541512613542,0.11563254583159022,-1.3281724436303974e-16,5.551115123125783e-17,1.0,-2.767826800040107e-17,0.0,2.842170943040401e-14,180.0,2.1900935754681727,0.14795591646601086,0
1,-3.10494410204313,-1.0414541512613544,0.11563254583158933,-9.956488072366692e-17,5.551115123125782e-17,1.0,-1.5376815555777172e-17,0.0,0.0,180.0,1.9999999999999962,5.17086390909539e-16,0
2,-5.1105302619301565,-1.0414541512613544,0.11563254583158958,-7.995944089004974e-17,5.551115123125783e-17,1.0,-2.7678268000402882e-17,0.0,0.0,180.0,1.9999999999999967,1.3770621819420954e-16,0
3,-7.116116421817182,-1.0414541512613538,0.11563254583158976,-5.631758697304008e-17,5.551115123125783e-17,1.0,-1.8452178666935186e-17,0.0,0.0,180.0,1.9999999999999962,6.234914208324767e-16,1
4,-9.121702581704207,-1.0414541512613547,0.11563254583158913,-2.5563955861481665e-17,5.551115123125782e-17,1.0,1.1271893347790481e-30,0.0,0.0,180.0,1.9999999999999973,7.679514168636085e-16,1
5,-11.127288741591235,-1.0414541512613538,0.1156325458315897,-6.727356805653542e-18,5.551115123125782e-17,1.0,3.075363111156426e-18,0.0,0.0,180.0,1.9999999999999962,6.234914208324767e-16,1
6,-13.13287490147826,-1.0414541512613542,0.11563254583158976,-7.688407777890471e-19,5.551115123125782e-17,1.0,-3.075363111156186e-18,0.0,0.0,180.0,1.9999999999999964,3.1401849173675503e-16,1
7,-15.138461061365284,-1.041454151261355,0.11563254583158934,2.6909427222616807e-18,5.551115123125782e-17,1.0,-6.150726222312386e-18,0.0,0.0,180.0,1.999999999999997,5.29766398929187e-16,1
8,-17.14404722125231,-1.041454151261354,0.11563254583158969,1.4992395166886484e-17,5.551115123125782e-17,1.0,3.0753631111562167e-18,0.0,0.0,180.0,1.9999999999999967,3.1098442549377187e-16,1
9,-19.14963338113933,-1.0414541512613542,0.11563254583158979,-3.578549810731402e-11,5.549604059956774e-17,0.9999994939076029,-0.0010060738234398002,0.0,4.100712658328121e-09,-179.8847124126279,1.9999999999999962,5.059649534762678e-16,1
10,-21.155219541026362,-1.0414541512613542,0.11563254583158927,-3.580499854388396e-11,2.0007294775523062e-13,0.9999782463990736,-0.006595963055814806,0.0,4.103014816791983e-09,-179.244152829348,1.999999999999997,3.170235218490287e-16,1
11,-23.16080570091339,-1.0414541512613549,0.11563254583158958,1.8494792913744898e-11,1.241338565402602e-12,0.9996703283147111,-0.02567556595593722,0.0,2.124124875990674e-09,-177.05747350523322,1.9999999999999962,5.576676801477385e-16,1
12,-25.166391860800413,-1.0414541512613538,0.11563254583158995,3.633104857555318e-11,1.0520073203824651e-12,0.9981639862198051,-0.060569436300736516,0.0,4.164974143350264e-09,-173.05500297440506,1.999999999999996,8.285292339818283e-16,1
13,-27.17197802068744,-1.0414541512613544,0.11563254583159002,2.663064860976673e-11,-1.1891995804264007e-12,0.994380719887903,-0.10586304319835096,0.0,3.0546800644515315e-09,-167.84621512307578,1.9999999999999962,5.078354402748758e-16,1
14,-31.178765127025386,-1.1503502342124734,0.11563254195821387,-1.5422785582008992e-11,-7.275786369998584e-12,0.9860695791116929,-0.1663333554957904,0.0,1.954106210177997e-09,-160.8505988822094,2.000340849600145,0.0002694616962627351,1
15,-33.1227280106026,-1.642892371239319,0.11563254583155895,-6.897189487442873e-11,-1.5073639894479982e-11,0.9711972717405455,-0.23827685444398733,-153.88712081182948,8.09015432423621e-09,1.4568432281203343,2.0000071266204795,4.905278625058704e-06,1
16,-34.911881442152215,-2.502750707512096,0.11563254583159707,-5.98318211690878e-11,-6.645285924049233e-12,0.9473597043698957,-0.32017118942244643,-154.98907880355313,6.898375204400509e-09,12.335634820343927,2.0000006029228077,3.982036373402456e-07,1
17,-37.836934825783956,-5.218710641867174,0.11563254765221723,-1.8725145059140136e-11,1.2886762677343564e-11,0.9139800291245098,-0.405759172861884,0.0,2.6047928258776665e-09,-132.12258086231276,2.0000006643378763,4.4041827092534087e-07,1
18,-38.7684698342348,-6.8117740130910125,0.11563254475449912,1.7080247416165676e-11,2.986223855813981e-11,0.8739538854275715,-0.4860088539790724,0.0,3.942176363125327e-09,-121.8428181208859,2.0000000232097745,1.7550560608607355e-08,1
19,-39.39892906098352,-8.578357446907505,0.11563254496731204,1.617041395842797e-11,2.656737033989471e-11,0.8318199831961036,-0.5550455076438633,0.0,3.563968675734941e-09,-112.57230141646347,2.0000358619254994,2.4675513549522247e-05,1
20,-39.695228607132655,-10.558692449244313,0.11563254146429153,-3.19940395657456e-11,-7.842495152003727e-12,0.7933788651309833,-0.6087281629458859,0.0,3.7747724945802474e-09,-105.0048048561557,2.0000012835602408,8.851025446781404e-07,1
21,-39.707024120752294,-12.563901402499534,0.11563254583158929,-4.690794088037096e-11,-1.7406297699262517e-11,0.7619610355187897,-0.647622868922287,-119.27882515170721,5.733397756557679e-09,20.004055594182518,2.0000227596862934,1.5660777780593744e-05,1
22,-39.707024120752294,-16.575075381872793,0.11563254583158956,-4.002624969015665e-11,-9.150270671973111e-12,0.7359270421024673,-0.67706084564263,0.0,4.70498662252794e-09,-94.77121619958888,2.0004630706090842,0.0003185822386361756,1
23,-39.707024120752294,-18.580661541759817,0.11563254583159006,-1.1054713352082429e-11,1.8651311066446788e-11,0.7195709242560023,-0.6944189549294882,0.0,2.4844837298587663e-09,-92.0381330100046,2.0000039918872874,3.1558635102858958e-06,1
24,-39.707024120752294,-20.586247701646847,0.11563254583158976,2.2870780755115286e-11,5.129532573864954e-11,0.7102056374623471,-0.7039942844346829,110.71794046713865,6.4358118834206834e-09,158.7787614918517,1.9999999999999967,1.2910646468438266e-15,1
25,-39.707024120752294,-22.59183386153387,0.11563254583159695,1.4426354855258494e-11,4.2608746389582806e-11,0.7071837951511257,-0.7070297588331418,0.0,5.154873861101805e-09,-90.01248132695723,1.9999999999999964,1.2431752515804545e-15,1
26,-39.707024120752294,-24.597420021420895,0.11563254583158976,-1.409121295659487e-11,1.4091178748638857e-11,0.7071067811865475,-0.7071067811865476,0.0,2.2835706658952404e-09,-90.0,1.9999999999999971,1.3852999155310541e-15,1
27,-39.707024120752294,-25.58484975880846,0.11563254583158944,-1.4091221428512025e-11,1.4091170276721702e-11,0.7071067811865475,-0.7071067811865476,0.0,2.2835706658952404e-09,-90.0,1.9999999999999964,1.2309118173513342e-15,1
28,-39.707024120752294,-26.603006181307926,0.11563254583158976,-1.409122319538274e-11,1.4091168509850987e-11,0.7071067811865475,-0.7071067811865476,0.0,2.2835706658952404e-09,-90.0,1.9999999999999962,5.454105065709066e-15,1
29,-39.707024120752294,-28.60859234119495,0.11563254583158973,-1.4091287346380999e-11,1.4091104358852727e-11,0.7071067811865475,-0.7071067811865476,0.0,2.2835706658952404e-09,-90.0,1.9999999999999967,1.1684760083601587e-15,1
30,-39.707024120752294,-30.61417850108198,0.11563254583159009,-1.4091287074554737e-11,1.409110463067899e-11,0.7071067811865475,-0.7071067811865476,0.0,2.2835706658952404e-09,-90.0,2.829313737584839,0.6111509428623925,1
31,-39.707024120752294,-32.619764660969,0.11563254583158973,-1.4091191522732362e-11,1.4091200182501364e-11,0.7071067811865475,-0.7071067811865476,0.0,2.2835706658952404e-09,-90.0,1.9999999999999967,1.1684760083601587e-15,0
32,-39.707024120752294,-34.62535082085603,0.11563254583158974,-1.4091191794558626e-11,1.40911999106751e-11,0.7071067811865475,-0.7071067811865476,0.0,2.2835706658952404e-09,-90.0,1.9999999999999967,1.209151559984513e-15,0
33,-39.707024120752294,-36.63093698074306,0.11563254583158974,-1.4091197619487579e-11,1.4091194085746147e-11,0.7071067811865475,-0.7071067811865476,0.0,2.2835706658952404e-09,-90.0,1.9999999999999967,1.3085714074518125e-15,0
34,-39.707024120752294,-38.636523140630075,0.11563254583159008,-1.4091197891313843e-11,1.4091193813919883e-11,0.7071067811865475,-0.7071067811865476,0.0,2.2835706658952404e-09,-90.0,1.9999999999999967,1.209151559984513e-15,0
35,-39.707024120752294,-40.6421093005171,0.11563254583158977,-1.4091197891313843e-11,1.4091193813919883e-11,0.7071067811865475,-0.7071067811865476,0.0,2.2835706658952404e-09,-90.0,1.9999999999999964,1.2309118173513342e-15,0
36,-39.707024120752294,-42.64769546040414,0.11563254583158977,-1.4091194493485544e-11,1.4091197211748182e-11,0.7071067811865475,-0.7071067811865476,0.0,2.2835706658952404e-09,-90.0,1.9999999999999964,1.2309118173513342e-15,0
37,-39.707024120752294,-44.65328162029115,0.11563254583158974,-1.4091192862527961e-11,1.4091198842705765e-11,0.7071067811865475,-0.7071067811865476,0.0,2.2835706658952404e-09,-90.0,1.9999999999999967,1.3085714074518125e-15,0
38,-39.707024120752294,-46.658867780178184,0.11563254583158956,-1.4091198978618897e-11,1.4091192726614829e-11,0.7071067811865475,-0.7071067811865476,0.0,2.2835706658952404e-09,-90.0,1.9999999999999967,1.2710813567591674e-15,0
39,-39.707024120752294,-48.664453940065215,0.11563254583159005,-1.409119979409769e-11,1.4091191911136037e-11,0.7071067811865475,-0.7071067811865476,0.0,2.2835706658952404e-09,-90.0,1.9999999999999967,1.2710813567591674e-15,0
40,-39.707024120752294,-50.67004009995223,0.11563254583158956,-1.409119068791785e-11,1.4091201017315876e-11,0.7071067811865475,-0.7071067811865476,0.0,2.2835706658952404e-09,-90.0,1.9999999999999967,1.1684760083601587e-15,0
41,-39.707024120752294,-52.67562625983926,0.11563254583159005,-1.409119136748351e-11,1.4091200337750216e-11,0.7071067811865475,-0.7071067811865476,0.0,2.2835706658952404e-09,-90.0,1.9999999999999964,1.2431752515804545e-15,0
42,-39.707024120752294,-54.68121241972629,0.11563254583158974,-1.4091195580790598e-11,1.4091196124443128e-11,0.7071067811865475,-0.7071067811865476,0.0,2.2835706658952404e-09,-90.0,1.999999999999997,1.2316818592266834e-15,0
43,-39.707024120752294,-56.68679857961331,0.11563254583158976,-1.4091197075835049e-11,1.4091194629398677e-11,0.7071067811865475,-0.7071067811865476,0.0,2.2835706658952404e-09,-90.0,1.9999999999999964,1.2431752515804545e-15,0
44,-39.707024120752294,-58.69238473950034,0.11563254583158969,-1.4091197075835049e-11,1.4091194629398677e-11,0.7071067811865475,-0.7071067811865476,0.0,2.2835706658952404e-09,-90.0,1.999999999999997,1.2316818592266834e-15,0
45,-39.707024120752294,-60.69797089938737,0.11563254583159038,-1.4091198842705765e-11,1.4091192862527961e-11,0.7071067811865475,-0.7071067811865476,0.0,2.2835706658952404e-09,-90.0,1.9999999999999964,1.2309118173513342e-15,0
46,-39.707024120752294,-62.70355705927439,0.11563254583158959,-1.409120060957648e-11,1.4091191095657246e-11,0.7071067811865475,-0.7071067811865476,0.0,2.2835706658952404e-09,-90.0,1.9999999999999967,1.1684760083601587e-15,0
47,-39.707024120752294,-64.70914321916142,0.11563254583158974,-1.4091192862527961e-11,1.4091198842705765e-11,0.7071067811865475,-0.7071067811865476,0.0,2.2835706658952404e-09,-90.0,1.999999999999997,1.2903300438558497e-15,0
